,PROFILEMENTION_1,COMPANYMENTION_1,POLL_1,CONTENT_Document,CONTENT_Image,CONTENT_Poll,CONTENT_Text,CONTENT_Video (external),CONTENT_Video (native),LINKS_1,LINKS_2,TAGS_1-5,TAGS_6 and more,EMOJIS_1,CHARACTER_COUNT,AGE_IN_DAYS,ENGAGEMENT
219,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13.416407864998739,6.4031242374328485,2759
220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.44030650891055,6.4031242374328485,3568
221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.352700094407323,6.4031242374328485,2373
222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.14889156509222,6.48074069840786,3224
223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.844410203711913,6.48074069840786,4599
224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.204650534085253,6.557438524302,5385
225,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.244997998398398,0.0,3478
226,1,0,0,0,1,0,0,0,0,0,0,1,0,1,28.53068523537421,0.0,827
227,1,0,0,0,1,0,0,0,0,0,0,1,0,0,28.548204847240395,1.7320508075688772,1317
228,1,0,0,0,1,0,0,0,0,0,0,1,0,0,24.95996794869737,2.0,1808
229,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22.40535650240808,2.23606797749979,283750
230,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.306623862918075,2.23606797749979,3113
231,1,0,0,0,1,0,0,0,0,0,0,1,0,0,14.730919862656235,2.449489742783178,8993
232,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.082762530298219,2.6457513110645907,5282
233,1,0,0,0,1,0,0,0,0,0,0,1,0,0,28.653097563788805,2.8284271247461903,25536
234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.898979485566356,3.1622776601683795,5129
235,1,0,0,0,1,0,0,0,0,0,0,1,0,0,28.548204847240395,3.3166247903554,4374
236,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7.211102550927978,3.4641016151377544,5631
237,0,1,0,0,1,0,0,0,0,0,0,0,1,1,44.68780594300866,3.605551275463989,214
238,1,0,0,0,1,0,0,0,0,0,0,1,0,0,30.919249667480614,3.605551275463989,2288
239,1,0,0,0,1,0,0,0,0,0,0,1,0,0,19.79898987322333,3.7416573867739413,1628
240,1,0,0,0,1,0,0,0,0,0,0,1,0,0,11.40175425099138,3.872983346207417,5535
241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,4.0,1903
242,0,1,0,0,0,0,0,1,0,0,0,1,0,0,14.247806848775006,4.123105625617661,40
243,0,1,0,0,1,0,0,0,0,1,0,1,0,0,24.413111231467404,4.123105625617661,482
244,0,1,0,0,1,0,0,0,0,0,0,1,0,1,36.59234892706397,4.242640687119285,2415
245,1,1,0,0,0,0,0,0,1,0,0,1,0,0,17.72004514666935,4.358898943540674,80
246,1,0,0,0,1,0,0,0,0,0,0,1,0,0,36.29049462324811,4.47213595499958,2362
247,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.652475842498529,4.58257569495584,3469
248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,4.795831523312719,2521
249,0,0,0,0,1,0,0,0,0,0,0,1,0,1,16.941074346097416,4.898979485566356,5879
250,1,0,0,0,1,0,0,0,0,0,0,1,0,0,31.144823004794873,5.196152422706632,12484
251,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5.830951894845301,5.291502622129181,4747
252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,5.385164807134504,15410
253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.445523142259598,5.477225575051661,2600
254,1,1,0,0,1,0,0,0,0,0,0,1,0,1,33.24154027718932,5.477225575051661,998
255,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.615773105863909,5.656854249492381,12676
256,1,0,0,0,1,0,0,0,0,0,0,1,0,0,33.61547262794322,5.656854249492381,5455
257,0,1,0,0,1,0,0,0,0,0,0,1,0,0,35.90264614203248,5.744562646538029,0
258,1,0,0,0,1,0,0,0,0,0,0,1,0,0,25.65151067676132,5.830951894845301,1126
259,1,0,0,0,1,0,0,0,0,0,0,1,0,0,24.228082879171435,5.916079783099616,1617
260,1,0,0,0,1,0,0,0,0,0,0,1,0,1,24.657656011875904,6.0,3110
